ID,SchemaVersion,SourceName,SourceURL,Company,PublishedDate,IsRemote,RoleFamily,CollectedAt
1228,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/ubitricity-gmbh/senior-business-development-partnerships-manager-london-319710,Ubitricity Gmbh,2026-09-11T18:31:40Z,0,Management,2026-09-11T18:31:40Z
1229,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/tended/project-manager-lincoln-11391,Tended,2026-09-11T18:31:40Z,1,Management,2026-09-11T18:31:40Z
1230,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/atariinc/senior-offensive-security-engineer-newcastle-upon-tyne-43443,Atariinc,2026-09-11T18:31:40Z,0,AI/ML,2026-09-11T18:31:40Z
1231,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/aios-yc-w20s21/dispenser-blackburn-262324,AIOS (YC W20/S21),2026-09-11T18:31:40Z,0,Management,2026-09-11T18:31:40Z
1232,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/okta/strategic-account-executive-uk-i-london-255376,okta,2026-09-11T18:31:40Z,0,AI/ML,2026-09-11T18:31:40Z
1233,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/jetbrains/staff-ai-engineer-developer-tools-london-374018,jetbrains,2026-09-11T18:31:40Z,0,AI/ML,2026-09-11T18:31:40Z
1234,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/databricks/enterprise-account-executive-uk-public-sector-london-49968,databricks,2026-09-11T18:31:40Z,0,Data Science,2026-09-11T18:31:40Z
1235,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/okta/senior-solutions-engineerauth0-london-454160,okta,2026-09-11T18:31:40Z,0,AI/ML,2026-09-11T18:31:40Z
1236,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/databricks/delivery-solutions-architect-london-467373,databricks,2026-09-11T18:31:40Z,0,Data Science,2026-09-11T18:31:40Z
1237,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/databricks/digital-natives-account-executive-london-181516,databricks,2026-09-11T18:31:40Z,0,Data Science,2026-09-11T18:31:40Z
1238,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wppmedia/senior-associate-implementational-planning-uk-london-31541,wppmedia,2026-09-11T18:31:40Z,0,Management,2026-09-11T18:31:40Z
1239,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wppmedia/senior-associate-director-search-london-238818,wppmedia,2026-09-11T18:31:40Z,0,Management,2026-09-11T18:31:40Z
1240,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/dataiku/data-scientist-london-364935,dataiku,2026-09-11T18:31:40Z,0,Data Science,2026-09-11T18:31:40Z
1241,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/cohere/talent-partner-gtm-london-338149,Cohere,2026-09-11T18:31:39Z,0,AI/ML,2026-09-11T18:31:39Z
1242,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/delinea/director-se-bracknell-461682,Delinea,2026-09-11T18:31:39Z,0,Product,2026-09-11T18:31:39Z
1243,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/gitlab/remote-senior-backend-engineer-database-excellence-ruby-194431,gitlab,2026-09-11T18:31:40Z,0,Data Science,2026-09-11T18:31:40Z
1244,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wppmedia/senior-associate-analytics-london-88774,wppmedia,2026-09-11T18:31:40Z,0,Data Science,2026-09-11T18:31:40Z
1245,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/camunda/remote-senior-software-engineer-backend-data-streaming-281046,Camunda,2026-09-11T18:31:39Z,0,Data Science,2026-09-11T18:31:39Z
1246,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/checkoutcom/manager-operations-and-strategy-ceo-office-london-357263,Checkout.com,2026-09-11T18:31:39Z,0,Engineering,2026-09-11T18:31:39Z
1247,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/kong/account-executive-commercial-london-181230,Kong,2026-09-11T18:31:40Z,0,Engineering,2026-09-11T18:31:40Z
1248,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/intelance/project-coordinator-technology-consulting-london-444835,Intelance,2026-09-11T18:31:39Z,1,AI/ML,2026-09-11T18:31:39Z
1249,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wppmedia/account-director-client-services-london-138751,wppmedia,2026-09-11T18:31:40Z,0,Management,2026-09-11T18:31:40Z
1250,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/typeform/freelance-principal-recruiter-340139,typeform,2026-09-11T18:31:40Z,0,Engineering,2026-09-11T18:31:40Z
1251,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/purestorage/senior-global-msp-marketing-manager-staines-95991,purestorage,2026-09-11T18:31:40Z,0,Data Science,2026-09-11T18:31:40Z
1252,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wppmedia/director-product-enablement-ai-uk-london-263607,wppmedia,2026-09-11T18:31:40Z,0,Management,2026-09-11T18:31:40Z
1253,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/parloa/manager-agent-architecture-423428,parloa,2026-09-11T18:31:40Z,0,Engineering,2026-09-11T18:31:40Z
1254,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/commercetools/senior-search-backend-engineer-london-162156,commercetools,2026-09-11T18:31:40Z,0,Engineering,2026-09-11T18:31:40Z
1255,1.0,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/aircall/senior-revenue-operations-business-partner-emea-paris-office-191439,Aircall,2026-09-11T18:31:41Z,0,Data Science,2026-09-11T18:31:41Z
1256,1.0,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/aircall/remote-senior-data-engineer-real-time-analytics-62324,Aircall,2026-09-11T18:31:41Z,0,Data Science,2026-09-11T18:31:41Z
1257,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/anthropic/applied-ai-architect-beneficial-deployments-life-sciences-london-212594,anthropic,2026-09-11T18:31:40Z,0,AI/ML,2026-09-11T18:31:40Z
1258,1.0,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/aircall/product-manager-intern-paris-office-335821,Aircall,2026-09-11T18:31:41Z,0,Data Science,2026-09-11T18:31:41Z
1259,1.0,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/aircall/senior-data-engineer-real-time-analytics-paris-office-122301,Aircall,2026-09-11T18:31:41Z,0,Data Science,2026-09-11T18:31:41Z
1260,1.0,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/veeamsoftware/remote-senior-customer-success-engineer-390555,veeamsoftware,2026-09-11T18:31:41Z,0,Engineering,2026-09-11T18:31:41Z
